name,brand,location,year,vehicle_age,kilometers_driven,fuel_type,transmission,owner_type,mileage_kmpl,engine_cc,power_bhp,seats,price
Maruti Wagon R LXI CNG,Maruti,Mumbai,2010,10,72000.0,CNG,Manual,First,26.6,998.0,58.16,5.0,1.75
Hyundai Creta 1.6 CRDi SX Option,Hyundai,Pune,2015,5,41000.0,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.5
Honda Jazz V,Honda,Chennai,2011,9,46000.0,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4.5
Maruti Ertiga VDI,Maruti,Chennai,2012,8,87000.0,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.0
Audi A4 New 2.0 TDI Multitronic,Audi,Coimbatore,2013,7,40670.0,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,17.74
Hyundai EON LPG Era Plus Option,Hyundai,Hyderabad,2012,8,75000.0,LPG,Manual,First,21.1,814.0,55.2,5.0,2.35
Nissan Micra Diesel XV,Nissan,Jaipur,2013,7,86999.0,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.5
Toyota Innova Crysta 2.8 GX AT 8S,Toyota,Mumbai,2016,4,36000.0,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,17.5
Volkswagen Vento Diesel Comfortline,Volkswagen,Pune,2013,7,64430.0,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.2
Tata Indica Vista Quadrajet LS,Tata,Chennai,2012,8,65932.0,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,1.95
Maruti Ciaz Zeta,Maruti,Kochi,2018,2,25692.0,Petrol,Manual,First,21.56,1462.0,103.25,5.0,9.95
Honda City 1.5 V AT Sunroof,Honda,Kolkata,2012,8,60000.0,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,4.49
Maruti Swift VDI BSIV,Maruti,Jaipur,2015,5,64424.0,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.6
Land Rover Range Rover 2.2L Pure,Land,Delhi,2014,6,72000.0,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,27.0
Land Rover Freelander 2 TD4 SE,Land,Pune,2012,8,85000.0,Diesel,Automatic,Second,,2179.0,115.0,5.0,17.5
Mitsubishi Pajero Sport 4X4,Mitsubishi,Delhi,2014,6,110000.0,Diesel,Manual,First,13.5,2477.0,175.56,7.0,15.0
Honda Amaze S i-Dtech,Honda,Kochi,2016,4,58950.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.4
Maruti Swift DDiS VDI,Maruti,Jaipur,2017,3,25000.0,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.99
Renault Duster 85PS Diesel RxL Plus,Renault,Kochi,2014,6,77469.0,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.34
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Mercedes-Benz,Bangalore,2014,6,78500.0,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,28.0
BMW 3 Series 320d,BMW,Kochi,2014,6,32982.0,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,18.55
Maruti S Cross DDiS 200 Alpha,Maruti,Bangalore,2015,5,55392.0,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,8.25
Audi A6 2011-2015 35 TFSI Technology,Audi,Mumbai,2015,5,55985.0,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,23.5
Hyundai i20 1.2 Magna,Hyundai,Kolkata,2010,10,45807.0,Petrol,Manual,First,18.5,1197.0,80.0,5.0,1.87
